Channel,Model,RMSE,MAE,MAPE,Explained Variance,RÂ²
Channel 16,CLS Calibration,10.723243450690926,7.721281021934211,0.09036596333676457,0.021852758018199414,0.01977493305036837
Channel 16,PLS Regression,10.723243450690926,7.721281021934211,0.09036596333676457,0.021852758018199414,0.01977493305036837
Channel 16,SBC (Ridge),10.723293853500254,7.721446296201444,0.09036761983110418,0.02184307449745404,0.019765718261300913
Channel 16,SVR,11.286596454369217,7.594646452842042,0.08677661178881302,-0.047459203343608314,-0.08592408929465645
Channel 16,ANN,10.886718758468476,8.16387770301743,0.09726629306692028,-0.0047412460446891735,-0.010339843398659232
Channel 16,Random Forests,12.868275907340507,9.941453076824304,0.11711231048802896,-0.4036264024174192,-0.4116082910447809
Channel 16,Poly Ridge,10.698103211753873,7.656775095467744,0.08949816681973112,0.026864535492322483,0.024365746475257133
Channel 15,CLS Calibration,10.723012411172913,7.713272356872991,0.090293866400987,0.021752752990775837,0.019817171816712165
Channel 15,PLS Regression,10.723012411172913,7.713272356872991,0.090293866400987,0.021752752990775837,0.019817171816712165
Channel 15,SBC (Ridge),10.723063053528927,7.7134328015087394,0.0902954243879794,0.021743273130164775,0.019807913432396962
Channel 15,SVR,11.067494844371229,7.525631054339298,0.08666744521223355,-0.0216741629467736,-0.044172206786504464
Channel 15,ANN,10.863078795540835,8.066769329850207,0.09647551404068527,0.0045165745836269755,-0.005956802909045766
Channel 15,Random Forests,12.16987370919796,8.903173970983268,0.10395237333755616,-0.2431114217816288,-0.26254136344375434
Channel 15,Poly Ridge,10.69697153283069,7.60559274228285,0.08893430611051137,0.02668917555724315,0.02457214686264675
Channel 18,CLS Calibration,10.938507057855444,8.128974225470605,0.09478781222772269,-0.018910198404455292,-0.01997511294142318
Channel 18,PLS Regression,10.938507057855446,8.128974225470605,0.09478781222772269,-0.018910198404455514,-0.0199751129414234
Channel 18,SBC (Ridge),10.93812379707516,8.128357224107766,0.09478082747463178,-0.018837662658901744,-0.019903638908052912
Channel 18,SVR,11.209969214494514,7.581155758827236,0.08613893118443844,-0.02001960289412552,-0.07122897803057615
Channel 18,ANN,11.42782664351487,8.643807251873039,0.10170045266626006,-0.11159908929871354,-0.11327065063879305
Channel 18,Random Forests,11.148044108021748,8.237968513430543,0.09640925165308974,-0.05903825180536737,-0.059426493357911614
Channel 18,Poly Ridge,11.092025857721715,8.292365863595963,0.09675050583587345,-0.04810907269230902,-0.04880613523834709
Channel 14,CLS Calibration,10.768180357806619,7.747894207101641,0.09063729503953682,0.013338415147629457,0.011542241602751191
Channel 14,PLS Regression,10.768180357806619,7.747894207101641,0.09063729503953682,0.013338415147629457,0.011542241602751191
Channel 14,SBC (Ridge),10.768222793488139,7.748033559727455,0.0906387207275592,0.013330637186222294,0.011534450878619817
Channel 14,SVR,10.884919573616758,7.3180789472978764,0.08387383605999671,0.01903200357754442,-0.010005924984120007
Channel 14,ANN,10.641178677220315,7.719407978802205,0.091543956877647,0.03834398044842657,0.03472080984711745
Channel 14,Random Forests,11.096500439673918,8.057734728437406,0.09486684283819415,-0.0493270870253959,-0.04965249381135717
Channel 14,Poly Ridge,10.69235394858709,7.418497884557459,0.08638713094736009,0.029038424714453726,0.02541409509445136
Channel 8,CLS Calibration,10.899918648793385,7.965321133289386,0.09298902126702706,-0.011486672844141399,-0.012791355271119409
Channel 8,PLS Regression,10.899918648793383,7.965321133289386,0.09298902126702709,-0.011486672844141399,-0.012791355271119187
Channel 8,SBC (Ridge),10.89976177870063,7.96508792151125,0.09298640436885522,-0.0114567625750428,-0.01276220358004787
Channel 8,SVR,11.193107580562607,7.529334037461978,0.08557312816341339,-0.013320202719547813,-0.06800879322393616
Channel 8,ANN,11.032881231699282,8.408066956371025,0.09914307516732632,-0.036133510548359116,-0.037651118708007525
Channel 8,Random Forests,11.071648348083645,8.20199742845908,0.09606284087096544,-0.044808886428750805,-0.044956085524446854
Channel 8,Poly Ridge,10.983471518818055,8.13186337158843,0.09506984185864567,-0.027789021958362303,-0.0283778855867598
Channel 7,CLS Calibration,10.887177573536368,7.950882275080174,0.09281725254375499,-0.009046758433641333,-0.01042500568168614
Channel 7,PLS Regression,10.887177573536366,7.950882275080174,0.09281725254375499,-0.009046758433641333,-0.010425005681685917
Channel 7,SBC (Ridge),10.887050413964564,7.950672929183375,0.09281491956082824,-0.00902249916370601,-0.010401402785553238
Channel 7,SVR,11.147657929871588,7.457259281763713,0.08465848426113184,-0.006598880470114699,-0.05935309567968128
Channel 7,ANN,11.016371295912059,8.286233156944768,0.09722374084874703,-0.034473524240093756,-0.03454789754688181
Channel 7,Random Forests,10.96129502448922,8.078599940127974,0.09487094603230725,-0.02422459505987673,-0.024229326010017482
Channel 7,Poly Ridge,10.954593020717779,8.10438566711513,0.09475359837342548,-0.02231981866778643,-0.022977231205008275
Channel 9,CLS Calibration,10.811256122009743,7.792978566859347,0.09111294796118881,0.005300988529904793,0.00361820335855223
Channel 9,PLS Regression,10.811256122009743,7.792978566859347,0.09111294796118881,0.005300988529904793,0.00361820335855223
Channel 9,SBC (Ridge),10.811282188721977,7.793051050926897,0.0911136807514573,0.005296380551270796,0.0036133986571214027
Channel 9,SVR,10.771051869710401,7.248888886698353,0.08339150016656417,0.03344444930715573,0.011014994366167818
Channel 9,ANN,10.814515302330333,7.804795728438023,0.0918671638534005,0.00301929319584604,0.003017370783983453
Channel 9,Random Forests,12.230040522916585,8.75252290250961,0.10359720431660015,-0.2737718224252508,-0.27505601566699456
Channel 9,Poly Ridge,10.745762879757772,7.621576428565803,0.08903120163107357,0.017757024078930428,0.01565355178796679
Channel 17,CLS Calibration,10.873827024108554,7.891463962472202,0.09210827249293158,-0.006339254338577849,-0.0079484302958861
Channel 17,PLS Regression,10.873827024108554,7.8914639624722005,0.09210827249293158,-0.006339254338577849,-0.0079484302958861
Channel 17,SBC (Ridge),10.873737566747295,7.891356654184676,0.09210715803056861,-0.006322357233115694,-0.00793184587979101
Channel 17,SVR,11.358108311650067,7.654371396599447,0.087097703752494,-0.05183832927277865,-0.09972851020645734
Channel 17,ANN,11.175013391418391,8.698219506770693,0.10316881965894333,-0.057376952878300136,-0.0645586104604019
Channel 17,Random Forests,12.019483767951373,8.930113425340604,0.10545971170826299,-0.22997956500996386,-0.23153030461314628
Channel 17,Poly Ridge,10.893936746899687,7.928395882344224,0.09256903989675117,-0.010210837404018847,-0.011680015584328629
Channel 2,CLS Calibration,10.830348707078826,7.840045303070617,0.09165190513383686,0.0016129988339993462,9.589259817943674e-05
Channel 2,PLS Regression,10.830348707078826,7.840045303070617,0.09165190513383686,0.0016129988339993462,9.589259817943674e-05
Channel 2,SBC (Ridge),10.830351982638916,7.84005146744692,0.09165188704393705,0.0016128475778962592,9.528777065792582e-05
Channel 2,SVR,10.814303436484565,7.472256784531739,0.08635312943400641,0.018537094685397437,0.0030564339306883292
Channel 2,ANN,10.800943562416247,8.138283517873449,0.09639363736930681,0.008492691285713172,0.005518139111136966
Channel 2,Random Forests,10.597725920408521,7.625368426150005,0.08926427220481277,0.042728087627836975,0.04258805931364562
Channel 2,Poly Ridge,10.998195632892624,7.9758945543237605,0.0935328334126423,-0.030909709590145162,-0.03113695910891434
Channel 13,CLS Calibration,10.833606436364057,7.829385128600885,0.09150717580570218,0.001252125127894188,-0.0005057328694328955
Channel 13,PLS Regression,10.833606436364057,7.829385128600886,0.09150717580570218,0.00125212512789441,-0.0005057328694328955
Channel 13,SBC (Ridge),10.833610288216958,7.829405087577961,0.09150735028512115,0.0012514892915113096,-0.0005064443225610837
Channel 13,SVR,10.799487009630273,7.257877354174817,0.08325970288230833,0.03294959545397569,0.00578634117098642
Channel 13,ANN,10.774597804254862,8.010272124950847,0.09480493907517026,0.01316843989001526,0.010363720305539892
Channel 13,Random Forests,11.079781326096859,7.929811767212492,0.0927675129544695,-0.03776936632182992,-0.04649185075845885
Channel 13,Poly Ridge,10.73861946453833,7.609005622611312,0.08877089010841362,0.01953328419034539,0.01696183641998239
Channel 5,CLS Calibration,10.847028708234028,7.8474741139334645,0.09174193849874285,-0.0014737522722685359,-0.002986417207468728
Channel 5,PLS Regression,10.84702870823403,7.8474741139334645,0.09174193849874285,-0.0014737522722685359,-0.002986417207469172
Channel 5,SBC (Ridge),10.847007576755354,7.847471824805866,0.0917418182460751,-0.0014693841259534324,-0.0029825093049433704
Channel 5,SVR,10.70962200767889,7.093092159158321,0.08090218723278936,0.058418188330757514,0.022263657578305285
Channel 5,ANN,10.864388605119858,8.264953730670436,0.09800992282485374,-0.002276401945497275,-0.006199402878444227
Channel 5,Random Forests,11.28664363147272,8.125860715972932,0.09530581994630861,-0.08592349797002186,-0.08593316747166635
Channel 5,Poly Ridge,10.785498357823172,7.791861851827484,0.09110848055631138,0.010309316118761513,0.008360297009105788
Channel 12,CLS Calibration,10.88253783610793,7.894381422251406,0.09218231194616085,-0.007796198553256195,-0.009563973016130545
Channel 12,PLS Regression,10.882537836107929,7.894381422251406,0.09218231194616085,-0.007796198553255751,-0.009563973016130323
Channel 12,SBC (Ridge),10.882454014289875,7.894279707766073,0.09218119947495006,-0.007780587037117259,-0.009548420915502343
Channel 12,SVR,11.085972620149649,7.632201574326791,0.08747240240050178,-0.019524950386599293,-0.04766172023997006
Channel 12,ANN,11.234337454306278,8.607909661131492,0.10179469372849022,-0.07194537762988795,-0.0758913168005162
Channel 12,Random Forests,11.368922999242915,8.294250425952383,0.09751525436405438,-0.10175779636879567,-0.10182373276413936
Channel 12,Poly Ridge,10.950998949690737,8.024976057710974,0.0938841884369708,-0.021793876885941144,-0.02230608811678536
Channel 3,CLS Calibration,10.84335965798199,7.848244792889483,0.09171567351124638,-0.0006373214303929675,-0.002308003740098652
Channel 3,PLS Regression,10.84335965798199,7.848244792889483,0.09171567351124638,-0.0006373214303929675,-0.002308003740098652
Channel 3,SBC (Ridge),10.843352195686064,7.848245055434691,0.09171564332449227,-0.0006357258894214013,-0.0023066241830989043
Channel 3,SVR,10.857732565076867,7.309959579287213,0.08388269959413723,0.023056266714598705,-0.004966889532841856
Channel 3,ANN,10.835982368608361,8.261214075874562,0.09794893809219565,0.003029952169758765,-0.0009446254047020819
Channel 3,Random Forests,10.538325549361609,7.66791895680415,0.0899119689869268,0.05390108315179609,0.053290590159899454
Channel 3,Poly Ridge,10.85888091841802,7.867891872514431,0.0920993956957996,-0.0025348225918149225,-0.005179478691225592
Channel 10,CLS Calibration,10.89897907276887,7.911857669937502,0.09239716991336842,-0.010892260965633893,-0.01261675700262721
Channel 10,PLS Regression,10.898979072768872,7.911857669937502,0.09239716991336842,-0.010892260965633893,-0.012616757002627432
Channel 10,SBC (Ridge),10.898870161945743,7.911734720136991,0.09239579561044416,-0.010871893628289442,-0.012596519442254372
Channel 10,SVR,11.030591189291176,7.735943477505418,0.08919576621532975,-0.023219912952236355,-0.03722040285024164
Channel 10,ANN,10.98046161131587,8.233280101680924,0.09680774196046636,-0.027423752558935144,-0.027814330032039036
Channel 10,Random Forests,11.527807171465119,8.685690267991937,0.10328691117891001,-0.12247473819292676,-0.1328355756011279
Channel 10,Poly Ridge,10.97300515004448,8.125924240635563,0.09526276902676814,-0.0263889328244995,-0.026418895872064363
Channel 4,CLS Calibration,10.840898358890932,7.84709301428272,0.09169221416595426,-0.00010509709759487507,-0.0018530340866897976
Channel 4,PLS Regression,10.840898358890932,7.84709301428272,0.09169221416595426,-0.00010509709759487507,-0.0018530340866897976
Channel 4,SBC (Ridge),10.840897328387198,7.8470951805942155,0.09169222275497747,-0.0001048148526192616,-0.0018528436203264498
Channel 4,SVR,10.614505338394133,7.099463459393636,0.08125223176377891,0.07210481383151823,0.03955391161100652
Channel 4,ANN,10.80183867475615,8.22666972090916,0.09752461819271184,0.0090549549733272,0.005353299832747016
Channel 4,Random Forests,10.182114670965078,7.147543055293491,0.08372906851026286,0.11672188497369718,0.1162092739479651
Channel 4,Poly Ridge,10.767380758562348,7.770909451098602,0.09081359720091434,0.014016368287363856,0.011689033485053901
Channel 6,CLS Calibration,10.841852160162158,7.846909750239603,0.09169534445922041,-0.0003035020654589271,-0.002029331419653113
Channel 6,PLS Regression,10.841852160162158,7.846909750239603,0.09169534445922041,-0.0003035020654589271,-0.002029331419653113
Channel 6,SBC (Ridge),10.84184912533311,7.846912219466876,0.09169534787420525,-0.00030281347074967435,-0.0020287704477359725
Channel 6,SVR,10.581878503767994,7.056411509402765,0.08075132324934486,0.07754358320378762,0.045449269700561845
Channel 6,ANN,10.838344676970664,8.278524314282187,0.09813851699298592,0.0024852007220993455,-0.001381096694558881
Channel 6,Random Forests,10.558010029555872,7.759737114274836,0.09144476720781651,0.05039200983732539,0.04975058048796821
Channel 6,Poly Ridge,10.710269830266435,7.66079377317541,0.08953002680662464,0.024506879635333267,0.022145367904975677
Channel 1,CLS Calibration,10.841461641749222,7.849650811279664,0.091713573889681,-0.0001640811703087497,-0.0019571474697110958
Channel 1,PLS Regression,10.841461641749222,7.849650811279664,0.091713573889681,-0.0001640811703087497,-0.0019571474697110958
Channel 1,SBC (Ridge),10.841460265338199,7.849648749827533,0.09171354717337579,-0.00016380887181588477,-0.001956893056640263
Channel 1,SVR,10.63222865418246,7.366314790870895,0.08494769428691519,0.055925459349265294,0.03634387024614216
Channel 1,ANN,10.901905487776693,8.305113189931854,0.09844640592718593,-0.00971653180221721,-0.013160612475396016
Channel 1,Random Forests,10.390567035914527,7.553426313213855,0.0886280087050979,0.08074188717245045,0.07965221861447935
Channel 1,Poly Ridge,10.783873764191123,7.855963278808882,0.09201147923275896,0.009483052332236341,0.008659011108710701
